Name,Origin,Type,Unique Feature,Friendly Rating (1-10),Life Span,Size,Grooming Needs,Exercise Requirements (hrs/day),Good with Children,Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Average Weight (kg),Training Difficulty (1-10)
Affenpinscher,Germany,Toy,Monkey-like face,7,14,Small,High,1.5,Yes,8,Moderate,Low,4,6
Afghan Hound,Afghanistan,Hound,Long silky coat,5,13,Large,Very High,2,No,4,High,Moderate,25,8
Airedale Terrier,England,Terrier,Largest of terriers,8,12,Medium,High,2,Yes,7,Moderate,Low,21,6
Akita,Japan,Working,Strong loyalty,6,11,Large,Moderate,2,With Training,7,High,High,45,9
Alaskan Malamute,Alaska USA,Working,Strong pulling ability,7,11,Large,High,3,Yes,6,Very High,Moderate,36,8
American Bulldog,USA,Working,Muscular build,8,11,Large,Low,2,Yes,6,Moderate,Moderate,42,7
American Eskimo,USA,Non-Sporting,Pure white coat,9,14,Small-Medium,High,2,Yes,9,High,Low,12,5
American Foxhound,USA,Hound,Musical voice,8,12,Medium,Low,2.5,Yes,6,Moderate,Low,31,6
Australian Cattle Dog,Australia,Herding,Unique blue or red coat,7,14,Medium,Moderate,2.5,Yes,9,Moderate,Low,15,7
Australian Shepherd,USA,Herding,Merle coloring,8,14,Medium,High,2.5,Yes,9,High,Moderate,25,7
Australian Terrier,Australia,Terrier,Small but tough,7,13,Small,Moderate,1.5,Yes,7,Low,Low,6.5,6
Basenji,Central Africa,Hound,Doesn't bark,6,13,Small-Medium,Low,2,No,6,Low,Low,10,9
Basset Hound,France,Hound,Short legs long body,8,11,Medium,Low,1,Yes,5,Moderate,High,24,7
Beagle,England,Hound,Excellent sense of smell,9,13,Small-Medium,Low,2,Yes,7,Moderate,Moderate,10,7
Bearded Collie,Scotland,Herding,Long shaggy coat,8,13,Medium,Very High,2,Yes,8,High,Low,22,6
Bernese Mountain Dog,Switzerland,Working,Tri-colored coat,9,8,Large,High,1.5,Yes,7,High,High,43,5
Bichon Frise,Mediterranean,Non-Sporting,Cotton-like coat,9,13,Small,Very High,1,Yes,8,Low,Low,4,5
Black Russian Terrier,Russia,Working,Black protective coat,7,11,Large,High,2,Yes,8,Moderate,Moderate,50,8
Bloodhound,Belgium,Hound,Superior tracking ability,7,11,Large,Moderate,2,Yes,6,Moderate,High,43,8
Border Collie,UK,Herding,Highest intelligence,8,13,Medium,High,3,Yes,10,Moderate,Low,17,6
Border Terrier,UK,Terrier,Otter-like head,8,13,Small,Moderate,1.5,Yes,7,Moderate,Low,6,6
Borzoi,Russia,Hound,Graceful build,6,11,Large,High,2,No,6,Moderate,Low,37,7
Boston Terrier,USA,Non-Sporting,Tuxedo-like markings,9,12,Small,Low,1.5,Yes,8,Low,Moderate,9,5
Bouvier des Flandres,Belgium,Herding,Beard and mustache,7,11,Large,Very High,2,Yes,8,High,Moderate,34,7
Boxer,Germany,Working,Wrinkled forehead,9,11,Large,Low,2,Yes,7,Moderate,Moderate,28,6
Briard,France,Herding,Long protective coat,7,12,Large,High,2,Yes,8,Moderate,Low,35,7
Brittany,France,Sporting,Bright orange coloring,8,13,Medium,Moderate,2.5,Yes,8,Moderate,Low,17,5
Brussels Griffon,Belgium,Toy,Human-like expression,7,13,Small,High,1.5,Yes,8,Moderate,Moderate,4,7
Bull Terrier,England,Terrier,Egg-shaped head,7,12,Medium,Low,2,With Training,7,Low,Moderate,27,7
Bullmastiff,England,Working,Powerful guardian,6,9,Large,Low,1.5,With Training,6,Moderate,High,52,7
Cairn Terrier,Scotland,Terrier,Weather-resistant coat,8,14,Small,Moderate,1.5,Yes,7,Moderate,Low,7,6
Canaan Dog,Israel,Herding,Desert-adapted,6,13,Medium,Low,2,With Training,8,Moderate,Low,21,8
Cane Corso,Italy,Working,Ancient Roman guardian,6,11,Large,Low,2,With Training,7,Low,Moderate,45,9
Cardigan Welsh Corgi,Wales,Herding,Long tail unlike Pembroke,8,13,Small,Moderate,2,Yes,8,High,Moderate,13,6
Cavalier King Charles Spaniel,UK,Toy,Ruby colored coat,10,11,Small,Moderate,1,Yes,6,Moderate,High,6,4
Chesapeake Bay Retriever,USA,Sporting,Waterproof coat,7,11,Large,Moderate,2.5,Yes,7,Moderate,Low,30,7
Chihuahua,Mexico,Toy,Smallest dog breed,6,16,Small,Low,1,No,7,Low,Moderate,2,7
Chinese Crested,China,Toy,Hairless variety,7,14,Small,High,1,Yes,8,Low,Low,3,6
Chinese Shar-Pei,China,Non-Sporting,Wrinkled skin,6,10,Medium,Low,1.5,With Training,6,Moderate,High,22,8
Chow Chow,China,Non-Sporting,Blue-black tongue,5,10,Medium,High,1.5,No,5,High,High,26,9
Clumber Spaniel,England,Sporting,Massive head,7,11,Medium,Moderate,1.5,Yes,6,High,Moderate,31,6
Cocker Spaniel,England,Sporting,Long ears,9,13,Small-Medium,High,1.5,Yes,7,High,Moderate,12,5
Collie,Scotland,Herding,Lassie fame,9,13,Medium,High,2,Yes,8,High,Moderate,24,5
Curly-Coated Retriever,England,Sporting,Curly water-resistant coat,7,12,Large,Moderate,2,Yes,7,Low,Low,32,6
Dachshund,Germany,Hound,Long body short legs,7,14,Small,Low,1.5,With Training,7,Moderate,High,10,7
Dalmatian,Croatia,Non-Sporting,Spotted coat,8,12,Medium,Low,2.5,Yes,7,Moderate,High,24,7
Dandie Dinmont Terrier,Scotland,Terrier,Distinctive topknot,7,13,Small,Moderate,1.5,Yes,7,Low,Low,8,7
Doberman Pinscher,Germany,Working,Sleek appearance,8,11,Large,Low,2.5,With Training,9,Low,Moderate,35,7
English Bulldog,England,Non-Sporting,Pushed-in nose,7,9,Medium,Low,1,Yes,6,Moderate,High,20,7
English Cocker Spaniel,England,Sporting,Merry temperament,8,12,Medium,High,1.5,Yes,7,Moderate,Moderate,14,5
English Foxhound,England,Hound,Pack hunting ability,7,12,Medium,Low,2.5,Yes,6,Moderate,Low,29,7
English Setter,England,Sporting,Speckled coat,8,12,Medium,High,2,Yes,7,Moderate,Moderate,26,6
English Springer Spaniel,England,Sporting,Dual-purpose hunter,9,13,Medium,High,2,Yes,7,Moderate,Moderate,20,6
English Toy Spaniel,England,Toy,Domed head,8,11,Small,High,1,Yes,7,Moderate,Moderate,5,6
Entlebucher Mountain Dog,Switzerland,Herding,Tri-colored markings,7,12,Medium,Low,2.5,Yes,8,Moderate,Low,27,7
Field Spaniel,England,Sporting,Noble appearance,7,12,Medium,High,2,Yes,7,Moderate,Low,18,6
Finnish Lapphund,Finland,Herding,Thick double coat,8,12,Medium,High,2,Yes,7,High,Low,20,6
Finnish Spitz,Finland,Non-Sporting,Fox-like appearance,7,13,Medium,Moderate,2,Yes,8,Moderate,Low,15,7
Flat-Coated Retriever,England,Sporting,Shiny black coat,9,11,Large,Moderate,2.5,Yes,8,Moderate,Moderate,32,5
French Bulldog,France,Non-Sporting,Bat ears,8,11,Small,Low,1,Yes,7,Low,High,11,6
German Pinscher,Germany,Working,Elegant appearance,7,13,Medium,Low,2,With Training,8,Moderate,Low,13,7
German Shepherd,Germany,Herding,Police dog fame,8,11,Large,Moderate,2.5,With Training,9,High,Moderate,31,6
German Shorthaired Pointer,Germany,Sporting,Versatile hunter,8,13,Large,Low,2.5,Yes,8,Moderate,Low,26,6
German Wirehaired Pointer,Germany,Sporting,Weather resistant coat,7,13,Large,Moderate,2.5,Yes,8,Moderate,Low,27,7
Giant Schnauzer,Germany,Working,Beard and eyebrows,7,13,Large,High,2,With Training,8,Low,Moderate,38,8
Golden Retriever,Scotland,Sporting,Golden coat,10,11,Large,High,2,Yes,8,High,Moderate,29,4
Gordon Setter,Scotland,Sporting,Black and tan coat,8,11,Large,High,2,Yes,7,Moderate,Moderate,26,6
Great Dane,Germany,Working,Giant size,8,8,Giant,Low,2,Yes,6,Moderate,High,67,6
Great Pyrenees,France,Working,White guardian,7,11,Large,High,1.5,Yes,6,High,Moderate,46,8
Greater Swiss Mountain Dog,Switzerland,Working,Tri-colored markings,8,10,Large,Low,2,Yes,7,Moderate,Moderate,61,7
Greyhound,Egypt,Hound,Fastest dog breed,7,11,Large,Low,2,Yes,7,Low,Low,33,6
Harrier,England,Hound,Pack hunting ability,8,12,Medium,Low,2,Yes,6,Moderate,Low,25,6
Havanese,Cuba,Toy,Silky coat,9,14,Small,High,1.5,Yes,8,Low,Low,5,5
Ibizan Hound,Spain,Hound,Large ears,7,13,Medium,Low,2,Yes,7,Low,Low,22,7
Icelandic Sheepdog,Iceland,Herding,Spitz-type tail,8,12,Medium,Moderate,2,Yes,7,Moderate,Low,14,6
Irish Red and White Setter,Ireland,Sporting,Red and white coat,8,12,Large,High,2.5,Yes,7,Moderate,Moderate,27,6
Irish Setter,Ireland,Sporting,Rich red coat,8,13,Large,High,2.5,Yes,7,High,Moderate,29,6
Irish Terrier,Ireland,Terrier,Fiery red coat,7,13,Medium,Moderate,1.5,Yes,7,Low,Low,11,7
Irish Water Spaniel,Ireland,Sporting,Curly coat,8,11,Large,High,2,Yes,7,Low,Low,24,6
Irish Wolfhound,Ireland,Hound,Tallest dog breed,7,7,Giant,Moderate,2,Yes,6,Moderate,High,54,6
Italian Greyhound,Italy,Toy,Miniature sight hound,7,13,Small,Low,1.5,No,7,Low,Moderate,4,7
Japanese Chin,Japan,Toy,Eastern expression,7,11,Small,Moderate,1,Yes,7,Moderate,Low,3,6
Japanese Spitz,Japan,Non-Sporting,Snow-white coat,8,13,Small,High,1.5,Yes,8,High,Low,6,6
Keeshond,Netherlands,Non-Sporting,Spectacles marking,8,13,Medium,High,1.5,Yes,8,High,Low,16,6
Kerry Blue Terrier,Ireland,Terrier,Blue coat,7,13,Medium,High,1.5,Yes,7,Low,Low,16,7
Komondor,Hungary,Working,Corded coat,6,11,Large,Very High,2,With Training,6,Low,Low,40,8
Kuvasz,Hungary,Working,White guardian,6,11,Large,Moderate,2,With Training,7,Moderate,Moderate,42,8
Labrador Retriever,Canada,Sporting,Water-resistant coat,10,11,Large,Moderate,2,Yes,8,High,Moderate,30,4
Lakeland Terrier,England,Terrier,Square build,7,13,Small,Moderate,1.5,Yes,7,Low,Low,7,7
Leonberger,Germany,Working,Lion-like mane,8,9,Giant,High,2,Yes,7,High,High,61,8
Lhasa Apso,Tibet,Non-Sporting,Floor-length coat,6,13,Small,Very High,1,No,7,Low,Low,6,8
Lowchen,France,Non-Sporting,Lion cut,8,14,Small,High,1.5,Yes,8,Low,Low,6,6
Maltese,Malta,Toy,Pure white coat,8,13,Small,Very High,1,No,7,Low,Low,2.5,6
Manchester Terrier,England,Terrier,Sleek and athletic,7,15,Small-Medium,Low,1.5,With Training,8,Moderate,Low,7,7
Mastiff,England,Working,Massive size,6,9,Giant,Low,1.5,Yes,6,Moderate,High,78,7
Miniature Pinscher,Germany,Toy,Fearless nature,6,13,Small,Low,1.5,No,7,Low,Low,4,8
Miniature Schnauzer,Germany,Standard,Small but sturdy,8,12,Small,High,1.5,Yes,8,Moderate,Low,8,6
Neapolitan Mastiff,Italy,Working,Wrinkly loose skin,6,8,Large,Moderate,1,Yes,5,Moderate,High,70,8
Newfoundland,Canada,Working,Water rescue ability,9,9,Giant,High,2,Yes,7,Moderate,Moderate,61,7
Norfolk Terrier,England,Terrier,Bat-like ears,8,14,Small,Low,1.5,Yes,7,Low,Low,5,6
Norwegian Buhund,Norway,Herding,Spitz-type appearance,8,12,Medium,Moderate,2,Yes,7,Moderate,Low,12,6
Norwegian Elkhound,Norway,Hound,Gray coat,7,12,Medium,Moderate,2,Yes,7,Moderate,Moderate,23,7
Norwegian Lundehund,Norway,Non-Sporting,Unique extra toes,7,12,Small,High,2,Yes,7,Moderate,High,8,7
Old English Sheepdog,England,Herding,Fluffy appearance,8,10,Large,Very High,2,Yes,6,High,Moderate,32,6
Otterhound,England,Hound,Rough-coated,7,10,Large,Very High,2.5,Yes,6,High,Moderate,37,7
Papillon,France,Toy,Butterfly-shaped ears,9,13,Small,Moderate,1,Yes,8,Low,Low,3,5
Pekingese,China,Toy,Lion-like appearance,6,12,Small,Very High,1,With Training,5,Moderate,High,5,7
Pembroke Welsh Corgi,Wales,Herding,Short legs long body,9,12,Small,Moderate,2,Yes,8,Moderate,Moderate,12,5
Petit Basset Griffon Vendeen,France,Hound,Low-to-the-ground,7,12,Small,High,2,Yes,6,High,Moderate,15,7
Pharaoh Hound,Malta,Hound,Regal appearance,7,12,Medium,Moderate,2,Yes,8,Moderate,Low,20,7
Pointer,England,Sporting,Distinctive stance,8,12,Medium,Moderate,2.5,Yes,7,Moderate,Moderate,25,6
Pomeranian,Germany,Toy,Fluffy double coat,8,12,Small,High,1,Yes,7,High,Moderate,3,7
Poodle (Miniature),France,Non-Sporting,Curly hypoallergenic coat,8,15,Small,Very High,1.5,Yes,8,Low,Low,7,6
Poodle (Standard),France,Non-Sporting,Curly coat,9,12,Large,Very High,2,Yes,8,Moderate,Moderate,22,5
Poodle (Toy),France,Toy,Compact poodle,9,15,Toy,Very High,1,Yes,8,Low,Low,4,5
Portuguese Podengo,Portugal,Hound,Perky ears,7,12,Medium,Moderate,2,Yes,8,Moderate,Low,15,8
Portuguese Water Dog,Portugal,Sporting,Curly weatherproof coat,8,11,Medium,High,2,Yes,8,Moderate,Moderate,18,6
Pudelpointer,Germany,Sporting,Versatile hunting,7,12,Medium,Moderate,2.5,Yes,8,Moderate,Low,23,7
Pug,China,Toy,Wrinkled face,8,12,Small,Moderate,1,Yes,7,Moderate,High,7,6
Pyrenean Mountain Dog,France,Working,Guard dog,7,10,Giant,High,2,Yes,6,High,High,54,7
Rat Terrier,USA,Terrier,Athletic agile,7,15,Small-Medium,Low,2,Yes,7,Moderate,Moderate,5,7
Redbone Coonhound,USA,Hound,Redish coat,8,12,Medium,Moderate,2,Yes,6,Moderate,Low,25,7
Rhodesian Ridgeback,Africa,Hound,Ridge of fur on back,6,11,Large,Moderate,2.5,With Training,8,Moderate,Moderate,36,7
Rottweiler,Germany,Working,Powerful guarding,7,9,Large,Moderate,2,With Training,8,High,High,40,8
Saint Bernard,Switzerland,Working,Large size,9,8,Giant,High,2,Yes,6,High,Moderate,68,7
Saluki,Middle East,Hound,Slender elegant,6,12,Medium,Moderate,2.5,No,7,Moderate,Moderate,22,7
Samoyed,Siberia,Working,Fluffy white coat,9,12,Medium,High,2,Yes,7,High,Moderate,21,7
Schipperke,Belgium,Non-Sporting,Tailless appearance,7,13,Small,Moderate,2,No,7,Moderate,Moderate,7,7
Scottish Deerhound,Scotland,Hound,Greyhound-like,6,8,Large,Moderate,2,Yes,6,Moderate,Moderate,41,7
Scottish Terrier,Scotland,Terrier,Sturdy low-set,7,12,Small,Moderate,1.5,Yes,6,Moderate,High,9,7
Shetland Sheepdog,Scotland,Herding,Miniature Collie,9,12,Medium,High,2,Yes,8,High,Moderate,11,5
Shiba Inu,Japan,Non-Sporting,Fox-like expression,7,13,Small,Moderate,2,No,7,Moderate,Moderate,9,7
Shih Tzu,China,Toy,Long flowing coat,8,14,Small,Very High,1,Yes,6,Moderate,Moderate,4,7
Siberian Husky,Siberia,Working,Piercing eyes,8,12,Medium,Moderate,2.5,Yes,7,Moderate,Moderate,21,7
Silky Terrier,Australia,Terrier,Silky blue coat,7,13,Small,High,1.5,Yes,7,Moderate,Low,4,7
Skye Terrier,Scotland,Terrier,Long low body,7,13,Small,Moderate,1.5,No,6,Moderate,Moderate,8,7
Sloughi,North Africa,Hound,Powerful hunter,6,12,Medium,Low,2.5,With Training,7,Low,Moderate,18,7
Smooth Fox Terrier,England,Terrier,Energetic,7,13,Small,Low,2,Yes,7,Moderate,Moderate,7,7
Soft-Coated Wheaten Terrier,Ireland,Terrier,Soft wavy coat,8,12,Medium,High,2,Yes,7,Moderate,Moderate,12,6
Spanish Water Dog,Spain,Sporting,Curly waterproof coat,7,12,Medium,Very High,2,Yes,8,Moderate,Moderate,15,6
Spinone Italiano,Italy,Sporting,Shaggy coat,7,12,Large,High,2,Yes,7,Moderate,Moderate,32,7
Staffordshire Bull Terrier,England,Terrier,Muscular strength,7,12,Medium,Low,2,Yes,7,Moderate,High,16,7
Standard Poodle,France,Non-Sporting,Intelligent,9,12,Large,Very High,2,Yes,8,Moderate,Moderate,26,5
Standard Schnauzer,Germany,Standard,Distinct beard,7,15,Medium,High,2,Yes,7,Moderate,Moderate,14,6
Sussex Spaniel,England,Sporting,Low-set body,7,11,Medium,High,1.5,Yes,6,Moderate,Moderate,18,6
Swedish Vallhund,Sweden,Herding,Corgi-like,8,12,Medium,Moderate,2,Yes,8,Moderate,Low,12,7
Thai Ridgeback,Thailand,Hound,Ridge of fur on back,6,12,Medium,Moderate,2,With Training,7,Moderate,Moderate,15,7
Tibetan Mastiff,Tibet,Working,Imposing appearance,7,10,Large,High,2,With Training,6,Moderate,Moderate,45,8
Toy Fox Terrier,USA,Toy,Miniature Fox Terrier,8,15,Toy,Moderate,1.5,Yes,8,Low,Low,2,7
Treeing Walker Coonhound,USA,Hound,Tracking ability,8,12,Medium,Moderate,2,Yes,7,Moderate,Moderate,20,7
Welsh Springer Spaniel,Wales,Sporting,Compact build,8,13,Medium,High,2,Yes,7,Moderate,Moderate,16,6
Welsh Terrier,Wales,Terrier,Distinctive eyebrows,7,14,Medium,Moderate,1.5,Yes,7,Moderate,Moderate,9,7
West Highland White Terrier,Scotland,Terrier,White coat,8,13,Small,Moderate,1.5,Yes,7,Moderate,Moderate,7,7
Whippet,England,Hound,Miniature Greyhound,7,13,Medium,Low,2,Yes,8,Low,Low,8,6
Wire Fox Terrier,England,Terrier,Energetic,7,14,Small,Moderate,2,Yes,7,Moderate,Moderate,8,7
Wirehaired Dachshund,Germany,Hound,Wiry coat,7,13,Small,Moderate,1.5,With Training,7,Moderate,High,8,7
Wirehaired Pointing Griffon,Netherlands,Sporting,Shaggy beard,7,13,Medium,High,2,Yes,7,Moderate,Moderate,20,6
Xoloitzcuintli,Mexico,Non-Sporting,Hairless variety,7,15,Small-Large,Low,2,With Training,8,Low,Moderate,25-Jul,6
Yorkshire Terrier,England,Toy,Long silky coat,8,13,Toy,High,1,Yes,7,Moderate,Moderate,2.5,6
